695669826 129552;695669825 129552
831752110 32770838;831752110 32770839
971821172 32788636;971821173 32788636
418047292 32798134;418047292 32798133
522764350 33009240;522764349 33009240
751817868 33010726;751817868 33010725
832155535 33027279;832155535 33027280
165977825 33105393;165977825 33105394
422557789 33188235;422557788 33188235
600112536 33277946;600112536 33277947
810947501 33290849;810947501 33290850
787403336 33428604;787403337 33428604
776976197 33496699;776976197 33496698
150775013 33499657;150775012 33499657
541640500 33647760;541640501 33647760
683449220 33893320;683449221 33893320
680487171 34045983;680487170 34045983
37501160 34170856;37501160 34170857
413440869 34388899;413440870 34388899
638770645 34562339;638770644 34562339
457321615 34576401;457321615 34576400
64204971 34700333;64204971 34700332
900944724 34708976;900944724 34708977
323946042 34813626;323946042 34813625
625265411 34906415;625265411 34906416
953284635 35035137;953284635 35035138
297704753 35078083;297704754 35078083
159303819 35079353;159303820 35079353
629002599 35098609;629002599 35098608
546062764 35301662;546062764 35301661
209281490 35327484;209281490 35327483
28873524 35339348;28873524 35339347
574908732 36072312;574908732 36072313
451599104 36266574;451599103 36266574
238645127 36429135;238645126 36429135
249495679 36464927;249495678 36464927
32975760 36576758;32975759 36576758
190661124 36641362;190661124 36641361
183346727 36689123;183346726 36689123
615602028 36694626;615602028 36694627
151586355 36812437;151586355 36812438
892623730 36928838;892623730 36928837
802653854 36930318;802653854 36930317
919887333 36950905;919887333 36950906
734558623 37077605;734558623 37077606
814311922 37149036;814311921 37149036
284109093 37190887;284109093 37190886
660472607 37207285;660472608 37207285
326561012 37218836;326561012 37218837
221387719 37225457;221387718 37225457
933751985 37362793;933751986 37362793
424068338 37456858;424068338 37456857
484387237 37640209;484387237 37640208
39832443 37821165;39832443 37821164
544533060 37980616;544533060 37980617
172285009 37993225;172285008 37993225
828629059 38006663;828629060 38006663
931167437 38014179;931167437 38014180
184599210 38032752;184599211 38032752
228577160 38092486;228577161 38092486
717466096 38213790;717466095 38213790
770009484 38222220;770009484 38222221
114429834 38254246;114429834 38254245
179235933 38515147;179235932 38515147
550114626 38892838;550114626 38892837
513673938 39370712;513673938 39370711
492171808 39421060;492171809 39421060
207413997 39549995;207413998 39549995
526376992 39610062;526376993 39610062
416536071 39723851;416536071 39723850
291146531 39788591;291146532 39788591
653124205 39802025;653124204 39802025
765090292 39977818;765090291 39977818
444976310 40039030;444976310 40039029
89549677 40331313;89549676 40331313
922093908 40395666;922093908 40395665
189561375 40433787;189561376 40433787
802582944 40494404;802582945 40494404
545273862 40520166;545273863 40520166
727785505 40524247;727785505 40524248
113128469 40543809;113128469 40543808
59142819 40602337;59142819 40602338
221254734 40611286;221254735 40611286
136372102 40641924;136372102 40641925
399678801 40655675;399678800 40655675
615532017 40690037;615532017 40690036
983388680 41002530;983388680 41002531
108543777 41055855;108543777 41055854
855515656 41156226;855515655 41156226
164547402 41160690;164547403 41160690
183370108 41218918;183370109 41218918
639165702 41657778;639165702 41657777
253749528 41837110;253749529 41837110
86367258 41860492;86367258 41860491
741919176 42025780;741919175 42025780
350467069 42080605;350467069 42080604
519633076 42204114;519633077 42204114
516197962 42260792;516197961 42260792
465729026 42368702;465729026 42368703
395739517 42662055;395739517 42662054
114093048 42811204;114093048 42811203
355351729 42990119;355351730 42990119
5996338 43139216;5996338 43139217
904929475 43398883;904929475 43398882
245871706 43681362;245871706 43681361
227337443 43753353;227337443 43753354
846883615 43754173;846883615 43754174
183618009 43855527;183618009 43855526
919532527 43912803;919532528 43912803
287794156 44062152;287794157 44062152
358717925 44154639;358717925 44154640
402051903 44230315;402051904 44230315
146501459 44293145;146501460 44293145
474876789 44334307;474876789 44334306
440087614 44418086;440087614 44418085
126898950 44418722;126898949 44418722
566627135 44522917;566627135 44522916
490488413 44528277;490488413 44528276
367609881 44751679;367609880 44751679
45822702 44770036;45822702 44770037
393599732 45112316;393599732 45112317
189226576 45161900;189226575 45161900
704199739 45326635;704199738 45326635
791706899 45387283;791706900 45387283
992395598 45430752;992395598 45430753
446521227 45459821;446521227 45459822
358589546 45601210;358589546 45601209
710038812 45636624;710038812 45636623
971324195 45689173;971324194 45689173
691895618 45757318;691895618 45757317
302893451 46040421;302893450 46040421
104143723 46141459;104143723 46141458
605216660 46152420;605216660 46152419
587004369 46180549;587004369 46180548
540950395 46203703;540950395 46203704
718248157 46229109;718248156 46229109
920843312 46264340;920843312 46264339
784707234 46445618;784707234 46445617
826864470 46501256;826864470 46501257
892166627 46533563;892166628 46533563
462387442 46720474;462387443 46720474
730633050 46721150;730633050 46721151
528226504 46985972;528226504 46985973
238198124 47222280;238198124 47222281
180694742 47421934;180694741 47421934
856303084 47807944;856303085 47807944
593719777 47882863;593719777 47882862
793149222 47928134;793149221 47928134
293040284 48227168;293040284 48227169
161086924 48355266;161086924 48355267
278944353 48572645;278944353 48572644
929292558 48596678;929292558 48596679
985577735 48647801;985577735 48647800
891739035 48648071;891739036 48648071
19809873 48726703;19809874 48726703
222729188 48786760;222729187 48786760
391568153 48911733;391568154 48911733
486501674 49069310;486501675 49069310
62820558 49082570;62820558 49082569
836282020 49168736;836282020 49168735
478722165 49232351;478722165 49232350
325019628 49300924;325019628 49300925
161645545 49465597;161645545 49465596
99404310 49526120;99404311 49526120
785204368 49526638;785204367 49526638
691915072 49697104;691915071 49697104
799598246 49860508;799598245 49860508
597373219 50411415;597373220 50411415
900383611 50491159;900383612 50491159
228000107 50512793;228000107 50512792
331017659 50534669;331017660 50534669
827853781 50625363;827853780 50625363
56400827 50649911;56400827 50649912
510239326 50814128;510239326 50814129
877459478 50910220;877459478 50910221
734729073 51012467;734729073 51012468
333715349 51167831;333715349 51167832
263886113 51204165;263886113 51204166
369950671 51221923;369950672 51221923
526541327 51291393;526541327 51291392
247819647 51387423;247819648 51387423
736239519 51595151;736239520 51595151
676959692 51865688;676959692 51865687
930043645 52068223;930043646 52068223
155088915 52073921;155088914 52073921
969242476 52104680;969242475 52104680
639920270 52238518;639920270 52238517
170063118 52351154;170063118 52351153
895524827 52414373;895524827 52414374
549172066 52430160;549172065 52430160
899858412 52719452;899858412 52719451
480139460 52759088;480139459 52759088
459156649 52889251;459156650 52889251
597382241 52920183;597382241 52920184
728016108 52996822;728016108 52996821
560236538 53016316;560236539 53016316
988907794 53124138;988907795 53124138
994616433 53262451;994616432 53262451
358582293 53385477;358582293 53385476
302801964 53406596;302801964 53406597
499716177 53514917;499716177 53514918
749990455 53571913;749990454 53571913
182724528 53730610;182724529 53730610
30940781 53767477;30940780 53767477
284752175 53831603;284752174 53831603
651368178 53915952;651368178 53915953
732589115 53992455;732589116 53992455
625175112 54157078;625175112 54157077
275038189 54210327;275038189 54210328
631825452 54293832;631825453 54293832
447957756 54514956;447957756 54514957
5792809 54597833;5792809 54597834
254427134 54647418;254427134 54647419
828961465 54666273;828961466 54666273
784477704 54716332;784477705 54716332
309946669 54941753;309946669 54941754
75517050 55086990;75517050 55086989
722645004 55129658;722645003 55129658
807072401 55201683;807072401 55201682
80315202 55234556;80315202 55234557
296285837 55446303;296285836 55446303
484600490 55547090;484600489 55547090
984922887 55816931;984922887 55816932
777190103 55875085;777190103 55875084
793203014 55992646;793203015 55992646
711412416 56070274;711412417 56070274
464197679 56141609;464197678 56141609
616516778 56184286;616516778 56184287
692000058 56277868;692000058 56277867
503821570 56287578;503821570 56287579
470449230 56353592;470449229 56353592
314359727 56362005;314359728 56362005
564776199 56432525;564776199 56432526
301702421 56581195;301702422 56581195
815049837 56711805;815049837 56711804
924073402 57113806;924073402 57113805
586601834 57214338;586601834 57214337
993735150 57339334;993735149 57339334
188301563 57469797;188301563 57469798
771958810 57502790;771958809 57502790
361760714 57508958;361760713 57508958
381897589 57737813;381897588 57737813
192901356 57986162;192901356 57986163
469751307 58106035;469751307 58106036
891689206 58146040;891689206 58146039
678446277 58232131;678446278 58232131
122943653 58269665;122943652 58269665
23285057 58484507;23285057 58484506
901423230 58504214;901423230 58504215
627783160 58582352;627783160 58582351
329592173 59020955;329592174 59020955
284068718 59069342;284068718 59069343
983154192 59129432;983154192 59129433
432472343 59145279;432472342 59145279
302583409 59257951;302583409 59257950
797850542 59271240;797850542 59271241
768769931 59446185;768769932 59446185
731803643 59504059;731803644 59504059
769627037 59609197;769627037 59609196
423420640 60026122;423420639 60026122
140370197 60157817;140370196 60157817
53954890 60159570;53954890 60159571
576236417 60212607;576236418 60212607
129745573 60290369;129745572 60290369
407110993 60407203;407110992 60407203
362500770 60502524;362500770 60502525
313400133 60670879;313400133 60670880
849992260 60785252;849992260 60785253
158085662 60817574;158085662 60817573
203977225 61093217;203977224 61093217
209578409 61355325;209578409 61355324
386766469 61616763;386766468 61616763
602323053 61621523;602323053 61621522
860168806 61748648;860168806 61748647
390694192 61772876;390694192 61772875
695445175 61859391;695445175 61859392
246164434 62542776;246164435 62542776
448160194 62562666;448160194 62562667
22370589 62714067;22370588 62714067
817013955 62844957;817013955 62844956
367562323 63346369;367562322 63346369
161467244 63348056;161467243 63348056
820088159 63424949;820088159 63424950
591735308 63534916;591735308 63534917
872131717 63547887;872131717 63547888
944394164 63970326;944394164 63970327
253867059 64161033;253867060 64161033
739056835 64274101;739056835 64274102
969631092 64309520;969631092 64309519
499826106 64309876;499826105 64309876
937749228 64413006;937749227 64413006
988725775 64430379;988725776 64430379
882751354 64444214;882751353 64444214
161915908 64521716;161915908 64521717
25978457 64544769;25978457 64544770
5842436 64570620;5842437 64570620
344793309 64633607;344793310 64633607
280332725 64654667;280332725 64654668
597034048 64796124;597034049 64796124
401310192 64796502;401310192 64796501
643788863 65042111;643788862 65042111
628752057 65086777;628752057 65086776
723594447 65102403;723594446 65102403
176462497 65266175;176462497 65266174
235229397 65458203;235229398 65458203
69672547 65488981;69672546 65488981
961422654 65510388;961422655 65510388
958634555 65589315;958634556 65589315
925621187 65606285;925621188 65606285
639076478 65822388;639076478 65822389
870902916 65927124;870902916 65927123
379246990 65962296;379246991 65962296
198772938 65998490;198772938 65998491
489884463 66103387;489884463 66103388
44358537 66313237;44358537 66313238
999432818 66355036;999432817 66355036
328529679 66398203;328529678 66398203
991971946 66471600;991971946 66471599
298398251 66656871;298398251 66656872
609060123 66702127;609060123 66702128
602351210 66783948;602351210 66783949
565840813 67177927;565840813 67177928
876673177 67537321;876673177 67537322
385817032 67557028;385817032 67557027
984689305 67756943;984689305 67756942
36704968 67810008;36704969 67810008
901987265 67878583;901987266 67878583
849772795 68022695;849772795 68022694
927298264 68055472;927298264 68055471
279208997 68084275;279208996 68084275
140265344 68108676;140265344 68108675
244725160 68207786;244725160 68207787
327690918 68224042;327690918 68224043
56326438 68444498;56326437 68444498
886361566 68471470;886361566 68471471
679067148 68672630;679067147 68672630
964098009 68832147;964098008 68832147
913534316 69019766;913534317 69019766
762494039 69068207;762494039 69068206
629729500 69149564;629729499 69149564
462892530 69253520;462892530 69253519
120381660 69302106;120381660 69302105
158183350 69598224;158183350 69598223
304733675 69717143;304733675 69717142
169944481 69823873;169944482 69823873
851748372 69991456;851748372 69991455
273085216 69993622;273085216 69993623
900993154 70003042;900993153 70003042
492727664 70102918;492727663 70102918
697093085 70269479;697093086 70269479
934009743 70579991;934009744 70579991
573144481 70706129;573144481 70706128
478457390 70758406;478457390 70758405
904582139 70800925;904582140 70800925
860903053 70962379;860903054 70962379
963346949 71044697;963346949 71044696
283725005 71062275;283725006 71062275
27455957 71182335;27455957 71182336
291276411 71201561;291276411 71201562
153927496 71225532;153927497 71225532
725790470 71246112;725790470 71246111
660133117 71251149;660133117 71251148
851529628 71298096;851529627 71298096
184333474 71355570;184333473 71355570
899325865 71367771;899325866 71367771
236229062 71483978;236229061 71483978
109998583 71510837;109998583 71510836
803706638 71539064;803706638 71539063
846104556 71609470;846104555 71609470
60666769 71836933;60666769 71836934
550986187 71880513;550986186 71880513
920907811 72120583;920907812 72120583
913391652 72358354;913391652 72358355
104427252 72588536;104427253 72588536
629481622 72612572;629481621 72612572
916280462 72789618;916280463 72789618
991645879 72877339;991645879 72877338
665874419 73064141;665874420 73064141
89430212 73141718;89430212 73141719
690382392 73191668;690382392 73191667
258885388 73259182;258885388 73259181
863296128 73666932;863296128 73666931
736980052 73743738;736980051 73743738
994816114 73842498;994816115 73842498
96523142 73904566;96523141 73904566
511890359 74238663;511890360 74238663
301284413 74303763;301284413 74303762
294182413 74394019;294182412 74394019
117057200 74412232;117057199 74412232
523355659 74511569;523355660 74511569
945693975 74821769;945693975 74821768
911032928 74928228;911032928 74928227
273570722 75307714;273570721 75307714
139749254 75371792;139749253 75371792
141915851 75407435;141915851 75407436
61752348 75474946;61752347 75474946
815942400 75537552;815942399 75537552
450169679 75582821;450169679 75582820
618974014 75645270;618974014 75645269
567562513 75690373;567562512 75690373
490099239 75719367;490099239 75719368
477832765 75859391;477832764 75859391
482671469 75970555;482671468 75970555
180681268 75987004;180681268 75987005
833912023 75996193;833912024 75996193
776132688 76067894;776132688 76067893
126164495 76154415;126164496 76154415
496412748 76235562;496412748 76235563
370248821 76426047;370248822 76426047
625509833 76452479;625509832 76452479
284000069 76730017;284000069 76730016
386027942 76988792;386027943 76988792
604623010 77188342;604623010 77188343
211858962 77277792;211858963 77277792
72178275 77451745;72178276 77451745
409463348 77469198;409463349 77469198
237100154 77560232;237100153 77560232
797591929 77568865;797591928 77568865
934162855 77663207;934162855 77663208
416455304 77719004;416455305 77719004
908769593 77750121;908769592 77750121
599165369 77892045;599165368 77892045
704205235 77912399;704205236 77912399
564057593 77946573;564057592 77946573
895267100 78026662;895267100 78026663
504840888 78036508;504840888 78036509
958767984 78052392;958767984 78052391
285683912 78395796;285683913 78395796
422286881 78399471;422286882 78399471
794425959 78479425;794425959 78479424
175060960 78552918;175060960 78552917
507917632 78667816;507917632 78667817
105589658 78700352;105589659 78700352
198505267 78891411;198505266 78891411
253002664 78927428;253002663 78927428
679465979 79450449;679465980 79450449
4127463 79708253;4127463 79708254
776187995 79740237;776187994 79740237
376740696 79749946;376740697 79749946
212637355 79905771;212637355 79905770
690396688 79906156;690396688 79906155
990561060 80026264;990561060 80026263
300731076 80202238;300731077 80202238
410591252 80214328;410591252 80214329
486856376 80230998;486856376 80230999
320762931 80277477;320762931 80277478
523292254 80415116;523292254 80415115
620046642 80585226;620046643 80585226
251770176 80585926;251770176 80585925
116000237 80695525;116000237 80695526
826757943 80704131;826757944 80704131
310584336 80778556;310584335 80778556
144220551 80800779;144220550 80800779
783758768 80868860;783758769 80868860
768881171 80922593;768881171 80922594
816822616 80995590;816822616 80995589
537891662 81098136;537891662 81098135
259139305 81618555;259139306 81618555
844672154 81671926;844672154 81671925
362449572 81931044;362449571 81931044
815087745 82284099;815087745 82284100
4974596 82297424;4974595 82297424
318521479 82337669;318521479 82337668
237049567 82372563;237049566 82372563
813443800 82523996;813443800 82523997
957450830 82599726;957450831 82599726
256999530 82602242;256999529 82602242
545791486 82755950;545791485 82755950
100084691 82837581;100084691 82837582
226427410 82862216;226427411 82862216
753918729 82977405;753918730 82977405
103226219 83026539;103226218 83026539
494090616 83043340;494090615 83043340
587493588 83044500;587493588 83044499
100212381 83112565;100212381 83112566
160102027 83211995;160102027 83211994
232538199 83339559;232538199 83339558
49027886 83363428;49027886 83363429
159481149 83610563;159481150 83610563
843124505 84064589;843124505 84064588
600788416 84131684;600788417 84131684
904366229 84151589;904366229 84151588
714452095 84244375;714452094 84244375
890908906 84312562;890908906 84312563
978160739 84378215;978160739 84378214
547998044 84397482;547998043 84397482
767415829 84477857;767415829 84477858
133507921 84579011;133507921 84579010
384112137 84585241;384112137 84585240
357555804 84605460;357555805 84605460
708643589 84630911;708643589 84630910
221151792 84695264;221151793 84695264
36457706 84699714;36457707 84699714
974212280 84758180;974212280 84758179
822875611 84765997;822875611 84765998
364797197 84887657;364797197 84887656
272802785 85011075;272802784 85011075
193838966 85012448;193838967 85012448
44967076 85040734;44967077 85040734
342476662 85221726;342476662 85221725
959179513 85424663;959179512 85424663
274742766 85461376;274742766 85461377
105814613 85474639;105814612 85474639
697922570 85535804;697922570 85535805
502917485 85906865;502917485 85906864
758157806 85910834;758157806 85910833
908293991 85988599;908293991 85988598
956847355 86003921;956847356 86003921
695615348 86452896;695615347 86452896
866440643 86484295;866440643 86484294
212311652 86734802;212311651 86734802
746102888 86819280;746102888 86819281
744994977 86862273;744994977 86862274
956578602 86869182;956578602 86869183
934910193 86872401;934910193 86872400
564234875 86903941;564234876 86903941
403073164 87152758;403073164 87152757
900839448 87243484;900839449 87243484
189992353 87323177;189992352 87323177
774494064 87370982;774494065 87370982
562293009 87658605;562293009 87658606
629304697 87659773;629304698 87659773
617021801 87687673;617021801 87687672
784083073 87712533;784083074 87712533
934059500 87839066;934059499 87839066
797629324 87846626;797629323 87846626
928497307 87956199;928497307 87956200
125284063 87993969;125284062 87993969
705638103 88064513;705638104 88064513
73978060 88317106;73978060 88317107
819761085 88520485;819761085 88520486
343381897 88544347;343381898 88544347
835103005 88631851;835103006 88631851
706108135 88649569;706108135 88649568
603092526 88757182;603092525 88757182
765582139 88858797;765582138 88858797
580665179 89007367;580665179 89007366
844145654 89322626;844145653 89322626
93932435 89428917;93932435 89428918
199057239 89464089;199057239 89464090
548356872 89503572;548356872 89503571
750879692 89602220;750879691 89602220
670710228 89656856;670710228 89656857
696691336 89834520;696691336 89834519
603516070 89845020;603516069 89845020
864474056 89929822;864474056 89929821
503656053 89999439;503656053 89999440
976057422 90005516;976057422 90005517
324470793 90078605;324470794 90078605
570430210 90170744;570430210 90170745
699131962 90216766;699131961 90216766
362542007 90328993;362542007 90328994
572893891 90342279;572893890 90342279
959892866 90505276;959892865 90505276
500039181 90550227;500039182 90550227
93312430 90568120;93312430 90568119
715116708 90581994;715116708 90581993
106092816 90627302;106092816 90627301
800624934 90685762;800624934 90685761
139037144 90763990;139037144 90763991
236476465 90770155;236476465 90770156
918328206 91017016;918328206 91017017
918194447 91037101;918194447 91037100
96225938 91078434;96225937 91078434
433779290 91189660;433779290 91189659
99214960 91191338;99214961 91191338
446756535 91222003;446756535 91222004
99942634 91577714;99942635 91577714
78154796 91579744;78154796 91579745
916678651 91825995;916678650 91825995
