5 1;5 0
99 9;99 10
0 10;1 10
4 12;4 13
4 10;4 11
6 12;5 12
7 11;7 12
2 12;3 12
5 11;6 11
14 10;13 10
14 12;14 11
25 11;26 11
26 10;27 10
42 10;43 10
63 11;63 10
61 11;62 11
95 11;94 11
93 11;93 10
94 12;95 12
12 12;12 11
70 14;69 14
70 12;70 13
68 14;67 14
72 12;72 11
71 13;72 13
75 11;75 12
78 12;79 12
77 11;77 12
81 11;82 11
0 12;0 13
24 12;23 12
40 12;41 12
45 13;45 14
44 12;45 12
50 16;50 15
50 12;49 12
52 12;51 12
51 13;50 13
51 15;51 14
52 14;52 13
58 14;58 13
55 13;55 14
56 12;57 12
55 11;54 11
57 13;56 13
54 14;54 15
54 12;54 13
60 12;60 13
89 13;89 12
87 13;86 13
85 13;85 12
88 12;87 12
92 12;92 13
92 14;93 14
9 17;9 18
9 13;9 14
9 15;9 16
15 13;16 13
21 13;21 14
38 14;37 14
33 13;34 13
36 12;37 12
39 13;39 14
34 16;35 16
40 14;40 15
36 14;36 13
35 13;35 12
34 14;34 15
42 14;42 13
47 13;48 13
81 13;80 13
94 16;94 15
95 15;96 15
97 13;97 14
96 14;95 14
97 15;98 15
3 15;3 14
4 16;5 16
6 14;6 15
5 15;4 15
14 14;13 14
74 14;75 14
27 15;27 16
71 15;72 15
77 15;78 15
90 16;90 17
85 15;86 15
89 15;89 16
87 15;87 16
88 14;88 15
91 15;91 16
87 17;88 17
1 19;0 19
2 22;1 22
0 16;0 17
1 17;2 17
1 21;2 21
0 18;1 18
2 18;2 19
2 20;3 20
24 16;25 16
22 16;23 16
57 17;56 17
55 19;56 19
55 17;55 16
56 18;55 18
58 16;59 16
59 17;60 17
61 17;61 18
65 17;65 18
67 17;67 18
69 19;70 19
70 18;69 18
66 16;66 17
69 17;68 17
74 16;74 17
74 20;73 20
72 18;73 18
73 17;72 17
73 19;72 19
7 17;6 17
29 17;28 17
39 17;40 17
92 18;92 17
93 19;92 19
94 18;93 18
91 19;91 18
20 18;20 19
26 18;25 18
25 19;26 19
27 19;28 19
28 20;28 21
25 21;25 20
23 19;22 19
22 20;23 20
24 18;23 18
33 19;33 18
35 19;34 19
33 21;32 21
31 19;31 18
32 20;33 20
30 20;31 20
31 21;30 21
34 20;35 20
38 20;39 20
37 21;37 20
41 19;40 19
40 20;40 21
65 21;65 20
66 20;66 19
63 21;64 21
64 20;63 20
86 20;87 20
84 18;83 18
82 14;83 14
82 18;82 17
83 19;84 19
82 16;82 15
85 17;85 18
88 20;88 19
86 22;86 21
86 18;86 19
8 22;8 21
8 20;9 20
12 22;12 21
11 21;11 20
42 20;42 21
45 23;45 22
48 24;47 24
48 22;47 22
46 22;46 21
46 20;45 20
44 22;43 22
49 23;48 23
47 23;46 23
60 20;59 20
59 21;60 21
82 20;82 21
83 23;84 23
84 24;83 24
83 25;84 25
84 22;83 22
83 21;84 21
96 20;95 20
99 21;98 21
96 18;97 18
97 21;96 21
98 20;99 20
95 19;96 19
56 22;56 21
70 22;70 21
71 23;71 22
92 22;92 21
26 24;26 23
28 26;27 26
25 27;24 27
27 23;27 22
26 26;25 26
25 25;25 24
87 23;88 23
88 22;89 22
95 23;95 22
99 23;98 23
97 23;96 23
93 23;94 23
94 24;93 24
0 24;0 23
33 23;32 23
37 25;38 25
38 26;39 26
38 24;37 24
37 27;38 27
35 25;36 25
39 23;38 23
41 23;41 24
40 24;40 25
10 24;11 24
12 24;13 24
22 24;23 24
53 25;53 24
91 25;91 24
19 25;20 25
45 27;44 27
42 28;42 27
42 26;42 25
41 29;41 28
44 26;43 26
85 29;84 29
84 30;85 30
85 27;85 28
81 25;81 26
81 29;81 28
83 27;84 27
81 27;82 27
87 25;88 25
88 26;87 26
91 29;92 29
90 28;91 28
91 27;90 27
90 26;89 26
93 27;92 27
99 25;99 26
15 27;14 27
12 26;13 26
14 26;15 26
62 28;62 27
62 26;61 26
77 27;77 28
1 31;2 31
0 28;1 28
2 30;3 30
1 29;2 29
1 33;1 32
2 34;2 33
32 28;33 28
59 29;59 28
88 28;87 28
94 28;94 29
97 29;96 29
98 28;97 28
57 29;57 30
69 29;69 30
68 30;68 31
62 30;61 30
61 31;62 31
89 31;89 32
90 30;89 30
99 31;99 30
5 31;4 31
58 34;58 35
60 34;60 33
58 32;58 31
59 33;58 33
61 35;61 34
71 31;70 31
82 32;82 31
83 33;83 32
83 35;83 34
81 33;82 33
87 31;86 31
97 31;96 31
5 35;5 34
6 34;7 34
5 33;4 33
30 34;31 34
28 34;29 34
31 33;30 33
43 33;44 33
40 34;40 33
41 33;42 33
65 33;65 34
67 33;66 33
65 35;64 35
64 36;65 36
62 36;63 36
63 37;64 37
66 36;66 35
67 35;67 34
0 34;0 35
27 41;28 41
27 39;28 39
27 35;26 35
27 37;27 36
26 40;26 41
25 37;26 37
26 38;26 39
43 35;42 35
47 35;47 36
42 40;41 40
46 36;45 36
43 39;44 39
47 37;46 37
41 39;42 39
44 36;44 37
44 38;43 38
42 42;42 41
75 35;76 35
76 36;75 36
81 37;82 37
80 36;80 37
82 38;82 39
83 41;84 41
79 35;80 35
83 39;83 40
2 36;1 36
13 37;13 36
16 36;17 36
59 37;59 36
0 38;0 37
19 37;18 37
12 40;12 39
11 39;11 38
11 41;11 40
10 42;10 41
16 38;15 38
15 39;16 39
20 38;21 38
22 38;23 38
58 38;58 39
59 39;59 40
57 37;57 38
60 40;61 40
62 38;62 39
61 39;61 38
75 39;76 39
76 38;75 38
93 39;94 39
91 39;92 39
94 38;93 38
94 40;93 40
93 41;92 41
37 39;37 40
46 40;47 40
47 39;46 39
49 39;48 39
65 39;64 39
66 40;65 40
98 40;98 39
99 41;99 40
20 40;19 40
23 41;24 41
22 40;23 40
38 42;37 42
33 41;32 41
34 40;33 40
34 42;34 43
36 42;36 41
35 41;34 41
56 40;56 41
78 40;79 40
80 40;80 41
2 42;2 43
1 47;2 47
0 44;0 43
1 41;1 42
1 45;1 46
1 43;1 44
0 48;0 47
2 48;1 48
63 43;62 43
63 41;62 41
62 42;63 42
74 42;74 41
89 41;90 41
88 44;88 43
88 42;89 42
97 41;96 41
28 46;29 46
31 43;31 44
28 44;28 45
30 42;30 43
29 43;29 44
29 45;30 45
66 44;65 44
67 45;67 44
68 44;68 43
67 43;67 42
69 43;70 43
72 42;72 43
73 43;73 44
80 46;80 45
76 42;77 42
77 43;78 43
79 45;79 44
79 43;79 42
76 44;77 44
11 45;11 46
9 47;10 47
12 46;12 47
10 46;9 46
10 44;10 45
11 43;11 44
17 43;16 43
17 41;17 42
18 42;18 43
14 42;14 43
20 44;21 44
21 43;20 43
18 44;17 44
16 42;15 42
14 40;14 41
19 45;19 44
25 43;26 43
55 45;55 46
57 43;56 43
56 44;56 45
60 44;59 44
59 43;60 43
81 43;82 43
95 43;95 44
18 50;18 49
17 47;16 47
16 46;15 46
18 48;17 48
15 45;15 44
42 44;41 44
50 44;51 44
53 45;53 44
84 46;84 45
85 47;84 47
83 47;82 47
86 44;85 44
85 45;86 45
82 46;82 45
98 44;99 44
24 46;25 46
23 45;24 45
69 45;70 45
69 47;70 47
70 46;69 46
22 46;21 46
50 46;51 46
88 46;89 46
26 48;26 47
23 49;24 49
26 50;25 50
25 49;25 48
32 50;32 49
31 47;31 48
31 49;30 49
54 48;54 47
65 49;65 48
67 47;67 48
66 48;66 47
74 48;73 48
73 47;72 47
77 47;76 47
99 49;98 49
99 47;99 48
13 51;13 52
14 50;13 50
13 49;13 48
14 52;14 53
72 52;71 52
71 49;71 48
71 51;72 51
73 51;74 51
72 50;72 49
80 52;80 51
80 50;79 50
80 48;80 49
78 48;79 48
9 49;10 49
11 49;11 50
21 49;21 50
43 49;44 49
68 50;68 49
69 51;68 51
75 49;75 50
85 49;86 49
88 50;87 50
4 52;3 52
5 51;4 51
10 52;10 51
16 52;16 51
22 52;22 51
24 52;24 51
26 52;25 52
27 53;26 53
26 54;25 54
44 52;44 51
76 52;76 51
86 52;86 51
89 51;89 52
1 53;2 53
4 54;3 54
0 52;0 53
2 54;1 54
36 52;37 52
83 53;82 53
82 52;83 52
84 52;84 53
66 54;66 55
65 57;66 57
64 54;65 54
66 56;67 56
67 53;66 53
91 53;92 53
14 56;13 56
13 55;13 54
15 55;14 55
18 54;17 54
17 55;18 55
43 55;43 56
44 54;43 54
44 56;44 57
56 54;55 54
70 54;71 54
77 55;76 55
78 54;77 54
80 54;79 54
80 56;80 57
79 55;79 56
90 54;89 54
11 55;11 56
54 58;54 59
53 55;53 56
53 57;53 58
73 55;74 55
73 57;73 58
72 56;73 56
81 55;82 55
86 56;86 57
85 55;86 55
91 55;92 55
90 56;91 56
33 57;32 57
34 58;34 57
34 56;33 56
36 56;35 56
37 57;36 57
51 59;52 59
50 56;50 57
50 58;50 59
69 57;69 58
69 59;68 59
70 56;69 56
75 57;75 56
84 56;84 57
5 57;5 58
2 58;2 59
5 59;6 59
4 58;3 58
3 57;2 57
4 56;3 56
3 61;3 60
4 60;4 59
9 57;8 57
15 57;16 57
92 58;92 57
55 61;56 61
54 62;54 61
56 60;56 59
56 58;57 58
90 60;90 61
88 58;89 58
90 58;90 59
9 59;8 59
14 60;13 60
11 59;11 60
13 59;12 59
13 61;14 61
14 62;15 62
65 59;66 59
79 59;80 59
85 61;84 61
83 63;84 63
84 60;83 60
85 59;84 59
82 62;82 61
83 61;83 62
16 60;16 61
40 62;39 62
39 63;40 63
37 63;38 63
40 60;40 61
41 63;41 62
48 60;48 61
88 60;87 60
92 60;92 61
5 61;5 62
10 62;10 61
19 63;19 62
18 62;18 61
50 62;50 61
65 61;64 61
69 61;70 61
72 62;72 61
12 62;12 63
46 62;45 62
58 62;57 62
2 64;1 64
3 63;2 63
7 63;8 63
17 63;17 64
26 64;26 65
27 65;28 65
27 63;26 63
47 63;48 63
52 64;51 64
55 63;56 63
51 63;52 63
53 65;53 66
56 64;55 64
54 64;53 64
90 64;89 64
88 64;88 63
87 63;86 63
87 67;86 67
87 65;87 64
86 66;86 65
89 67;88 67
91 63;90 63
13 65;14 65
14 64;13 64
70 64;69 64
78 64;79 64
80 66;81 66
82 66;82 67
82 64;81 64
83 65;82 65
16 66;16 65
17 67;16 67
15 67;14 67
16 70;15 70
15 69;15 68
37 65;38 65
36 66;36 65
75 67;76 67
75 65;75 66
29 67;29 66
55 67;55 66
70 66;71 66
71 67;70 67
78 66;77 66
0 68;0 67
31 67;32 67
37 67;38 67
79 67;79 68
90 68;91 68
93 67;92 67
92 68;93 68
89 69;90 69
91 69;92 69
87 69;88 69
95 67;94 67
28 68;27 68
43 69;43 68
42 70;43 70
46 68;45 68
45 69;46 69
52 68;53 68
59 69;59 68
74 68;73 68
98 68;98 69
13 69;13 70
24 70;24 69
34 72;33 72
31 73;31 74
33 71;32 71
34 74;34 73
33 73;32 73
33 69;33 70
37 69;37 70
39 71;38 71
37 71;37 72
51 69;50 69
54 70;54 69
55 69;56 69
82 70;82 69
84 70;85 70
86 70;86 71
85 69;84 69
11 71;11 70
28 70;28 71
26 70;27 70
75 71;75 70
93 71;93 70
95 73;94 73
91 71;92 71
94 72;94 71
96 70;97 70
5 71;5 72
21 71;21 72
49 71;48 71
51 71;52 71
79 71;78 71
99 71;98 71
98 72;97 72
3 73;3 72
1 73;2 73
26 72;27 72
27 73;28 73
30 72;29 72
46 72;47 72
45 73;45 72
46 74;45 74
54 72;53 72
87 73;87 72
90 72;89 72
89 73;90 73
91 73;92 73
90 74;91 74
16 74;15 74
18 74;17 74
15 73;16 73
24 74;24 73
19 75;20 75
20 74;21 74
18 76;19 76
19 77;18 77
29 75;29 74
28 76;28 75
57 75;57 74
78 74;77 74
78 76;78 75
98 74;98 75
97 75;97 76
5 77;5 76
4 76;4 75
7 75;6 75
11 75;12 75
15 79;15 78
14 76;14 75
15 77;14 77
14 80;15 80
16 78;16 77
23 75;23 76
27 77;26 77
25 75;26 75
26 78;27 78
27 79;26 79
26 76;25 76
24 76;24 77
33 75;32 75
41 75;42 75
81 75;81 76
85 75;84 75
89 75;89 76
89 77;89 78
88 76;88 77
95 75;95 76
93 75;94 75
92 76;93 76
93 77;94 77
34 76;34 77
44 76;43 76
46 76;47 76
48 82;48 81
48 80;47 80
46 80;46 81
48 78;48 79
47 77;47 78
47 83;48 83
73 77;73 76
3 77;3 78
5 79;5 80
4 78;4 79
49 77;50 77
79 77;79 78
93 79;94 79
97 79;96 79
98 78;97 78
94 80;95 80
93 81;94 81
99 77;98 77
95 79;95 78
0 78;1 78
1 81;2 81
1 79;1 80
2 82;1 82
0 80;0 81
1 83;2 83
29 81;30 81
30 82;29 82
29 79;29 78
30 80;29 80
32 78;31 78
40 74;40 73
37 79;36 79
39 79;38 79
38 78;39 78
36 78;36 77
35 75;36 75
38 74;39 74
37 75;38 75
36 76;37 76
39 73;38 73
40 80;41 80
41 79;41 78
43 79;42 79
41 81;42 81
42 82;41 82
45 79;45 78
65 79;65 80
89 81;90 81
90 80;90 79
10 72;10 73
9 73;9 74
10 80;9 80
9 75;9 76
10 76;10 77
12 80;12 81
10 78;10 79
11 81;10 81
33 81;34 81
32 80;32 81
50 80;50 81
68 80;69 80
67 81;68 81
68 82;69 82
70 82;71 82
17 81;16 81
20 82;20 83
18 80;19 80
20 84;21 84
19 81;20 81
21 83;22 83
22 82;22 81
25 81;25 82
27 81;27 82
39 81;38 81
96 82;96 83
97 81;97 82
99 81;99 82
99 83;98 83
7 85;8 85
9 85;9 84
9 83;8 83
7 83;7 82
8 84;7 84
8 86;9 86
36 84;36 83
34 84;35 84
36 82;35 82
14 84;15 84
13 83;13 84
32 84;32 83
82 84;82 83
92 84;92 83
92 86;92 85
24 84;23 84
22 86;21 86
23 87;23 86
23 85;24 85
27 85;28 85
26 84;27 84
30 84;29 84
49 87;48 87
49 85;49 86
50 84;50 85
69 85;70 85
71 85;72 85
66 84;66 85
68 84;68 85
64 84;65 84
67 85;67 86
70 86;69 86
72 86;72 87
90 84;89 84
97 85;97 84
44 86;43 86
45 87;44 87
45 85;45 86
95 85;94 85
17 87;18 87
18 86;17 86
51 87;51 86
96 86;96 87
98 86;98 87
98 88;99 88
7 87;7 88
27 87;28 87
58 88;57 88
60 90;59 90
57 87;56 87
59 89;59 88
57 89;58 89
66 88;66 87
68 88;68 87
73 89;72 89
71 89;71 90
70 88;71 88
74 90;73 90
69 89;69 88
91 87;91 88
13 89;13 88
24 88;24 89
54 90;54 91
54 88;55 88
55 89;54 89
52 88;53 88
53 89;53 90
54 92;54 93
26 90;26 89
42 90;42 89
43 89;44 89
43 91;43 90
8 90;8 91
7 91;7 92
46 90;47 90
47 91;46 91
49 91;50 91
51 91;51 90
52 92;52 91
65 95;65 96
64 94;65 94
62 94;62 95
64 90;63 90
63 93;64 93
63 91;63 92
62 92;62 93
67 91;66 91
65 91;65 92
68 90;67 90
81 91;81 90
69 91;69 92
80 92;79 92
79 93;80 93
78 94;78 93
83 97;84 97
83 95;83 96
81 95;82 95
83 93;83 94
79 91;78 91
81 93;82 93
24 94;25 94
25 93;25 92
33 97;33 96
32 92;31 92
33 95;33 94
32 96;32 95
32 94;32 93
39 91;39 92
42 92;41 92
41 93;41 94
39 93;40 93
40 90;40 91
38 94;38 93
44 92;45 92
58 92;57 92
19 93;18 93
35 93;36 93
45 95;45 94
46 94;46 93
56 94;56 93
67 93;66 93
74 94;75 94
73 93;73 94
96 94;95 94
97 93;97 94
94 94;94 95
93 95;92 95
94 96;95 96
97 95;98 95
11 95;11 94
14 94;14 95
13 95;13 96
28 94;27 94
1 95;0 95
4 98;3 98
3 97;2 97
2 96;1 96
7 97;7 98
6 94;7 94
10 96;9 96
4 94;5 94
6 96;7 96
9 97;8 97
9 95;8 95
5 95;6 95
39 95;39 96
37 97;38 97
36 96;35 96
38 96;37 96
47 95;47 96
57 95;58 95
69 95;69 96
69 99;68 99
69 97;69 98
86 96;86 95
87 97;87 96
90 96;90 95
26 96;26 97
30 98;29 98
29 97;30 97
30 96;29 96
28 96;27 96
41 97;41 96
45 99;44 99
43 97;44 97
44 96;43 96
44 98;43 98
46 98;45 98
58 98;58 97
59 97;59 96
60 98;60 97
67 97;67 96
75 97;75 96
72 98;72 97
71 99;72 99
73 97;74 97
77 97;77 96
77 99;76 99
76 98;77 98
22 98;21 98
21 99;22 99
20 98;20 97
20 94;21 94
18 98;19 98
19 95;20 95
20 96;21 96
23 97;22 97
80 98;80 99
81 99;82 99
79 97;79 98
83 99;84 99
85 99;86 99
97 97;97 98
98 98;99 98
14 98;15 98
13 99;14 99
24 98;24 99
39 99;39 98
63 99;63 98
65 99;65 98
92 98;91 98
91 99;92 99
31 99;32 99
55 99;56 99
89 99;88 99
