0 0;0 1
123457194 12341286;123457194 12341285
123457113 12341473;123457114 12341473
123457046 12341256;123457047 12341256
123456944 12341442;123456945 12341442
123457263 12341319;123457264 12341319
123456828 12341464;123456827 12341464
123457183 12341295;123457182 12341295
123456955 12341249;123456954 12341249
123457271 12341427;123457270 12341427
123456928 12341234;123456927 12341234
123456903 12341349;123456903 12341348
123457130 12341258;123457131 12341258
123457280 12341476;123457279 12341476
123456825 12341483;123456826 12341483
123457116 12341298;123457117 12341298
123457089 12341361;123457088 12341361
123456825 12341335;123456824 12341335
123457052 12341356;123457052 12341355
123457161 12341367;123457162 12341367
123457014 12341288;123457015 12341288
123456800 12341418;123456801 12341418
123457113 12341253;123457113 12341254
123457200 12341254;123457200 12341253
123456959 12341349;123456958 12341349
123457150 12341366;123457150 12341367
123457162 12341384;123457163 12341384
123457101 12341265;123457101 12341266
123457054 12341358;123457055 12341358
123457219 12341247;123457218 12341247
123457166 12341458;123457167 12341458
123456935 12341281;123456934 12341281
123457033 12341261;123457033 12341260
123457045 12341299;123457045 12341300
123456930 12341372;123456931 12341372
123457239 12341251;123457240 12341251
123456871 12341263;123456870 12341263
123457133 12341403;123457132 12341403
123456811 12341279;123456812 12341279
123457129 12341361;123457130 12341361
123456853 12341375;123456852 12341375
123456852 12341336;123456853 12341336
123456884 12341354;123456883 12341354
123457150 12341418;123457149 12341418
123457218 12341444;123457218 12341443
123457287 12341241;123457288 12341241
123456996 12341260;123456995 12341260
123457138 12341462;123457137 12341462
123457131 12341481;123457132 12341481
123456887 12341281;123456886 12341281
123457208 12341298;123457209 12341298
123457176 12341442;123457177 12341442
123457195 12341465;123457196 12341465
123456894 12341438;123456895 12341438
123456901 12341335;123456902 12341335
123457279 12341423;123457280 12341423
123456877 12341445;123456878 12341445
123456963 12341309;123456963 12341310
123456853 12341419;123456853 12341420
123457197 12341345;123457196 12341345
123456823 12341399;123456822 12341399
123457157 12341463;123457158 12341463
123457228 12341394;123457228 12341393
123456886 12341254;123456887 12341254
123457016 12341266;123457015 12341266
123456871 12341269;123456872 12341269
123457015 12341313;123457014 12341313
123457034 12341396;123457035 12341396
123457014 12341382;123457014 12341383
123456887 12341465;123456888 12341465
123456823 12341391;123456823 12341392
123457271 12341381;123457272 12341381
123456845 12341479;123456846 12341479
123456864 12341378;123456865 12341378
123457189 12341357;123457190 12341357
123457163 12341317;123457163 12341316
123456811 12341363;123456811 12341362
123457001 12341243;123457002 12341243
123456911 12341335;123456912 12341335
123456808 12341456;123456809 12341456
123456838 12341468;123456839 12341468
123457175 12341253;123457175 12341252
123456975 12341237;123456974 12341237
123457182 12341432;123457183 12341432
123456888 12341290;123456887 12341290
123456936 12341438;123456937 12341438
123457143 12341381;123457144 12341381
123456851 12341353;123456852 12341353
123457104 12341416;123457105 12341416
123457182 12341436;123457181 12341436
123456931 12341385;123456930 12341385
123456826 12341476;123456826 12341477
123456805 12341369;123456806 12341369
123456825 12341285;123456825 12341286
123457067 12341371;123457067 12341372
123457109 12341471;123457110 12341471
123457223 12341249;123457222 12341249
123457233 12341317;123457232 12341317
123456945 12341311;123456944 12341311
123457174 12341402;123457174 12341403
123456881 12341425;123456881 12341426
123457241 12341251;123457241 12341250
123456857 12341275;123456856 12341275
123456898 12341436;123456898 12341435
123456832 12341344;123456832 12341345
123457170 12341282;123457171 12341282
123457234 12341336;123457233 12341336
123456816 12341402;123456815 12341402
123456868 12341382;123456867 12341382
123456966 12341478;123456965 12341478
123457155 12341413;123457156 12341413
123457109 12341363;123457108 12341363
123456984 12341346;123456985 12341346
123456896 12341348;123456895 12341348
123456824 12341430;123456824 12341429
123457068 12341362;123457068 12341363
123456852 12341242;123456853 12341242
123457043 12341337;123457044 12341337
123456969 12341399;123456970 12341399
123457202 12341388;123457201 12341388
123457141 12341381;123457142 12341381
123456979 12341343;123456980 12341343
123456888 12341384;123456889 12341384
123456960 12341402;123456959 12341402
123456886 12341426;123456886 12341425
123456880 12341462;123456880 12341461
123457266 12341448;123457265 12341448
123456793 12341243;123456794 12341243
123456893 12341245;123456894 12341245
123457196 12341234;123457195 12341234
123457038 12341314;123457039 12341314
123457223 12341235;123457224 12341235
123457003 12341253;123457004 12341253
123457036 12341312;123457036 12341313
123456862 12341344;123456861 12341344
123457175 12341365;123457176 12341365
123456807 12341381;123456806 12341381
123457184 12341394;123457185 12341394
123457249 12341327;123457249 12341328
123457278 12341290;123457278 12341291
123457156 12341316;123457157 12341316
123457162 12341328;123457163 12341328
123456979 12341467;123456978 12341467
123456881 12341283;123456880 12341283
123456868 12341414;123456869 12341414
123457190 12341310;123457191 12341310
123457030 12341384;123457031 12341384
123456908 12341388;123456909 12341388
123456994 12341410;123456993 12341410
123457249 12341367;123457248 12341367
123457028 12341248;123457028 12341249
123456921 12341303;123456920 12341303
123456885 12341467;123456886 12341467
123457123 12341473;123457123 12341472
123456870 12341264;123456869 12341264
123457201 12341449;123457202 12341449
123456819 12341459;123456820 12341459
123457207 12341283;123457206 12341283
123456814 12341444;123456815 12341444
123456841 12341399;123456842 12341399
123457098 12341310;123457098 12341311
123457032 12341244;123457033 12341244
123456945 12341331;123456944 12341331
123456968 12341270;123456967 12341270
123457059 12341419;123457060 12341419
123457159 12341431;123457158 12341431
123456982 12341342;123456983 12341342
123456870 12341386;123456869 12341386
123456835 12341441;123456836 12341441
123456925 12341441;123456925 12341440
123456926 12341318;123456925 12341318
123456802 12341256;123456801 12341256
123456825 12341303;123456826 12341303
123457245 12341457;123457244 12341457
123456830 12341386;123456831 12341386
123456927 12341281;123456926 12341281
123456877 12341365;123456877 12341366
123457279 12341283;123457280 12341283
123457249 12341397;123457248 12341397
123457042 12341478;123457043 12341478
123456999 12341417;123457000 12341417
123457241 12341327;123457242 12341327
123457189 12341281;123457188 12341281
123456861 12341275;123456862 12341275
123457243 12341377;123457243 12341376
123456810 12341414;123456811 12341414
123456902 12341454;123456903 12341454
123456915 12341251;123456914 12341251
123457139 12341401;123457140 12341401
123457092 12341422;123457092 12341421
123457099 12341375;123457100 12341375
123456792 12341338;123456793 12341338
123457172 12341418;123457171 12341418
123457186 12341436;123457185 12341436
123457244 12341362;123457245 12341362
123457036 12341248;123457037 12341248
123456999 12341245;123456998 12341245
123457137 12341481;123457136 12341481
123456989 12341297;123456989 12341298
123456801 12341375;123456802 12341375
123457013 12341419;123457014 12341419
123456878 12341266;123456879 12341266
123456886 12341286;123456887 12341286
123456967 12341255;123456967 12341256
123457148 12341360;123457147 12341360
123456917 12341303;123456917 12341302
123456956 12341306;123456955 12341306
123456954 12341288;123456955 12341288
123456823 12341293;123456824 12341293
123456835 12341391;123456834 12341391
123457053 12341243;123457054 12341243
123457120 12341256;123457120 12341257
123456994 12341292;123456995 12341292
123456943 12341441;123456944 12341441
123457284 12341406;123457285 12341406
123456815 12341253;123456814 12341253
123457039 12341397;123457040 12341397
123456794 12341352;123456793 12341352
123456915 12341319;123456914 12341319
123457167 12341339;123457168 12341339
123457111 12341407;123457111 12341408
123457120 12341344;123457121 12341344
123457257 12341241;123457257 12341242
123456983 12341441;123456983 12341442
123457228 12341338;123457227 12341338
123457007 12341371;123457008 12341371
123456934 12341418;123456933 12341418
123456898 12341324;123456897 12341324
123456901 12341329;123456900 12341329
123457242 12341378;123457242 12341377
123457034 12341318;123457033 12341318
123456991 12341453;123456992 12341453
123457211 12341315;123457210 12341315
123456862 12341314;123456862 12341315
123457118 12341472;123457117 12341472
123457190 12341362;123457190 12341361
123456866 12341464;123456865 12341464
123457284 12341242;123457285 12341242
123457192 12341256;123457191 12341256
123457240 12341408;123457241 12341408
123457198 12341240;123457197 12341240
123457204 12341268;123457205 12341268
123457002 12341352;123457002 12341351
123456792 12341426;123456791 12341426
123457063 12341365;123457064 12341365
123456830 12341304;123456830 12341305
123456901 12341261;123456902 12341261
123457032 12341334;123457033 12341334
123457055 12341255;123457056 12341255
123456851 12341459;123456851 12341460
123457084 12341244;123457085 12341244
123456791 12341337;123456792 12341337
123456842 12341290;123456843 12341290
123457121 12341253;123457120 12341253
123457043 12341451;123457042 12341451
123457047 12341469;123457047 12341470
123457150 12341314;123457150 12341315
123457149 12341383;123457150 12341383
123456910 12341458;123456911 12341458
123457198 12341266;123457199 12341266
123457007 12341237;123457006 12341237
123456957 12341405;123456958 12341405
123457033 12341427;123457032 12341427
123456914 12341284;123456915 12341284
123457268 12341428;123457269 12341428
123457217 12341377;123457217 12341376
123457061 12341427;123457062 12341427
123457180 12341350;123457181 12341350
123457130 12341246;123457130 12341247
123457041 12341395;123457040 12341395
123456947 12341449;123456948 12341449
123457166 12341466;123457165 12341466
123457183 12341411;123457184 12341411
123456876 12341322;123456875 12341322
123456951 12341447;123456952 12341447
123457288 12341386;123457287 12341386
123456922 12341348;123456921 12341348
123456894 12341414;123456895 12341414
123457227 12341331;123457227 12341332
123456970 12341246;123456971 12341246
123456935 12341443;123456936 12341443
123457219 12341371;123457220 12341371
123457279 12341289;123457280 12341289
123457285 12341269;123457284 12341269
123457057 12341267;123457058 12341267
123457271 12341443;123457270 12341443
123457062 12341360;123457063 12341360
123456908 12341244;123456908 12341245
123457162 12341296;123457161 12341296
123457287 12341397;123457288 12341397
123456861 12341393;123456860 12341393
123456807 12341309;123456808 12341309
123456886 12341376;123456886 12341375
123457080 12341476;123457080 12341477
123457042 12341278;123457041 12341278
123457008 12341250;123457008 12341251
123457028 12341478;123457027 12341478
123457170 12341474;123457169 12341474
123456790 12341458;123456789 12341458
123457260 12341240;123457259 12341240
123456857 12341285;123456856 12341285
123456940 12341416;123456941 12341416
123456971 12341431;123456972 12341431
123456947 12341351;123456947 12341350
123457168 12341438;123457167 12341438
123457037 12341377;123457036 12341377
123457287 12341357;123457286 12341357
123457154 12341330;123457155 12341330
123457205 12341451;123457205 12341450
123457073 12341235;123457072 12341235
123457134 12341452;123457134 12341453
123456940 12341430;123456940 12341429
123456935 12341245;123456936 12341245
123457232 12341476;123457231 12341476
123456940 12341358;123456941 12341358
123456835 12341295;123456835 12341294
123457243 12341285;123457242 12341285
123456823 12341255;123456822 12341255
123457056 12341252;123457057 12341252
123457221 12341471;123457220 12341471
123456828 12341462;123456829 12341462
123457098 12341376;123457097 12341376
123457156 12341456;123457155 12341456
123456940 12341378;123456939 12341378
123457214 12341386;123457213 12341386
123457098 12341374;123457099 12341374
123457179 12341469;123457179 12341468
123457110 12341334;123457111 12341334
123457133 12341365;123457134 12341365
123457117 12341457;123457117 12341456
123456819 12341457;123456818 12341457
123457258 12341422;123457259 12341422
123456910 12341346;123456911 12341346
123456810 12341280;123456810 12341281
123457061 12341445;123457062 12341445
123457130 12341280;123457131 12341280
123456842 12341446;123456843 12341446
123457278 12341282;123457277 12341282
123456812 12341404;123456811 12341404
123456866 12341414;123456867 12341414
123457162 12341470;123457161 12341470
123456960 12341416;123456959 12341416
123457253 12341437;123457252 12341437
123456943 12341299;123456943 12341300
123456834 12341478;123456834 12341479
123457173 12341265;123457172 12341265
123456965 12341289;123456964 12341289
123457209 12341307;123457210 12341307
123457011 12341421;123457012 12341421
123456949 12341407;123456948 12341407
123456969 12341329;123456968 12341329
123456886 12341408;123456886 12341409
123457190 12341466;123457190 12341465
123457183 12341427;123457184 12341427
123457054 12341280;123457055 12341280
123457038 12341418;123457037 12341418
123457203 12341467;123457202 12341467
123457098 12341286;123457097 12341286
123457148 12341436;123457149 12341436
123457207 12341463;123457208 12341463
123457016 12341460;123457015 12341460
123457178 12341480;123457177 12341480
123457104 12341284;123457104 12341283
123457075 12341273;123457074 12341273
123457075 12341421;123457076 12341421
123457012 12341242;123457011 12341242
123457075 12341387;123457074 12341387
123457099 12341461;123457099 12341462
123456796 12341236;123456797 12341236
123457223 12341327;123457222 12341327
123456923 12341239;123456924 12341239
123456991 12341235;123456990 12341235
123456923 12341417;123456922 12341417
123456853 12341253;123456854 12341253
123457020 12341330;123457019 12341330
123457177 12341481;123457176 12341481
123456917 12341409;123456916 12341409
123457141 12341353;123457142 12341353
123456886 12341438;123456887 12341438
123457201 12341301;123457202 12341301
123456918 12341242;123456919 12341242
123457099 12341357;123457099 12341356
123456840 12341252;123456841 12341252
123456820 12341298;123456819 12341298
123457114 12341420;123457113 12341420
123457002 12341252;123457001 12341252
123456998 12341338;123456997 12341338
123456914 12341400;123456915 12341400
123457101 12341331;123457102 12341331
123457014 12341428;123457013 12341428
123456795 12341417;123456794 12341417
123456995 12341387;123456995 12341386
123457182 12341444;123457182 12341445
123457111 12341255;123457110 12341255
123456940 12341438;123456941 12341438
123457203 12341377;123457203 12341376
123456791 12341457;123456790 12341457
123457055 12341341;123457054 12341341
123456828 12341386;123456829 12341386
123457276 12341410;123457277 12341410
123457277 12341371;123457278 12341371
123456856 12341474;123456856 12341473
123456987 12341455;123456988 12341455
123456922 12341278;123456922 12341277
123457018 12341342;123457019 12341342
123457212 12341414;123457212 12341413
123457047 12341421;123457048 12341421
123456948 12341300;123456949 12341300
123456976 12341344;123456977 12341344
123457211 12341287;123457212 12341287
123457207 12341375;123457207 12341376
123456844 12341440;123456843 12341440
123457045 12341389;123457045 12341388
123457091 12341389;123457092 12341389
123456841 12341345;123456842 12341345
123457006 12341374;123457006 12341375
123457276 12341400;123457277 12341400
123456957 12341337;123456956 12341337
123457136 12341294;123457136 12341295
123456865 12341477;123456865 12341478
123456929 12341247;123456928 12341247
123456977 12341349;123456977 12341350
123457007 12341365;123457006 12341365
123457007 12341479;123457008 12341479
123457147 12341293;123457146 12341293
123457287 12341467;123457286 12341467
123456832 12341412;123456833 12341412
123457099 12341287;123457099 12341286
123456957 12341303;123456956 12341303
123456863 12341303;123456864 12341303
123457264 12341316;123457263 12341316
123457028 12341348;123457029 12341348
123457256 12341322;123457257 12341322
123457093 12341343;123457094 12341343
123457169 12341329;123457168 12341329
123457189 12341425;123457189 12341424
123457090 12341256;123457091 12341256
123456799 12341369;123456798 12341369
123457001 12341373;123457002 12341373
123456834 12341272;123456835 12341272
123456829 12341335;123456829 12341334
123456837 12341331;123456837 12341330
123456858 12341348;123456857 12341348
123456846 12341322;123456847 12341322
123456903 12341245;123456902 12341245
123456942 12341430;123456941 12341430
123457081 12341425;123457082 12341425
123456990 12341410;123456991 12341410
123456814 12341320;123456813 12341320
123456918 12341328;123456919 12341328
123457042 12341270;123457042 12341271
123457024 12341268;123457024 12341269
123456873 12341339;123456872 12341339
123457068 12341398;123457068 12341399
123456997 12341423;123456997 12341424
123457097 12341443;123457096 12341443
123457171 12341461;123457170 12341461
123457053 12341297;123457054 12341297
123457053 12341261;123457054 12341261
123457164 12341312;123457165 12341312
123456832 12341252;123456833 12341252
123456865 12341241;123456866 12341241
123456916 12341434;123456917 12341434
123457234 12341452;123457234 12341453
123456934 12341292;123456934 12341293
123457219 12341459;123457220 12341459
123456827 12341459;123456826 12341459
123456805 12341313;123456804 12341313
123456841 12341297;123456840 12341297
123456853 12341475;123456854 12341475
123457113 12341379;123457114 12341379
123456995 12341283;123456995 12341282
123456800 12341316;123456799 12341316
123457276 12341260;123457277 12341260
123457143 12341379;123457142 12341379
123457056 12341478;123457056 12341479
123456852 12341258;123456853 12341258
123456816 12341480;123456816 12341481
123456886 12341302;123456886 12341301
123456905 12341393;123456906 12341393
123457037 12341373;123457038 12341373
123457027 12341309;123457028 12341309
123457206 12341410;123457207 12341410
123456825 12341417;123456824 12341417
123457024 12341364;123457023 12341364
123456881 12341469;123456881 12341470
123457050 12341480;123457051 12341480
123457038 12341420;123457039 12341420
123457252 12341338;123457251 12341338
123457125 12341413;123457124 12341413
123457125 12341383;123457126 12341383
123457280 12341314;123457281 12341314
123456857 12341237;123456856 12341237
123456857 12341411;123456856 12341411
123457256 12341280;123457255 12341280
123457045 12341367;123457045 12341368
123457262 12341282;123457261 12341282
123457108 12341332;123457108 12341333
123456982 12341344;123456981 12341344
123457003 12341449;123457004 12341449
123457285 12341267;123457286 12341267
123456981 12341355;123456982 12341355
123456975 12341341;123456974 12341341
123457280 12341454;123457280 12341453
123456998 12341438;123456998 12341437
123456815 12341271;123456814 12341271
123456892 12341316;123456891 12341316
123456831 12341363;123456832 12341363
123456941 12341275;123456940 12341275
123457024 12341378;123457023 12341378
123457191 12341283;123457190 12341283
123457184 12341426;123457183 12341426
123457166 12341276;123457166 12341275
123456974 12341372;123456975 12341372
123457164 12341330;123457165 12341330
123456981 12341409;123456982 12341409
123457256 12341422;123457256 12341421
123457047 12341475;123457046 12341475
123456922 12341446;123456921 12341446
123456929 12341321;123456930 12341321
123456877 12341291;123456878 12341291
123457124 12341272;123457124 12341271
123457280 12341298;123457280 12341299
123456812 12341408;123456811 12341408
123457101 12341405;123457102 12341405
123457217 12341267;123457218 12341267
123456818 12341398;123456819 12341398
123457155 12341249;123457154 12341249
123457028 12341350;123457029 12341350
123457278 12341270;123457279 12341270
123457161 12341357;123457161 12341358
123457288 12341402;123457287 12341402
123457144 12341284;123457145 12341284
123457148 12341252;123457149 12341252
123457209 12341297;123457208 12341297
123457145 12341365;123457146 12341365
123456969 12341475;123456970 12341475
123456950 12341242;123456950 12341241
123457147 12341405;123457146 12341405
123456828 12341354;123456828 12341353
123456931 12341345;123456931 12341346
123456986 12341444;123456985 12341444
123456905 12341273;123456905 12341274
123457118 12341398;123457117 12341398
123456992 12341448;123456992 12341449
123457087 12341395;123457086 12341395
123457012 12341276;123457013 12341276
123457240 12341382;123457239 12341382
123457136 12341236;123457135 12341236
123456849 12341383;123456850 12341383
123457033 12341479;123457032 12341479
123457060 12341254;123457059 12341254
123456994 12341470;123456994 12341471
123457051 12341245;123457052 12341245
123456924 12341276;123456924 12341277
123457039 12341409;123457040 12341409
123457026 12341308;123457027 12341308
123457224 12341236;123457225 12341236
123457092 12341362;123457093 12341362
123457203 12341303;123457204 12341303
123456855 12341359;123456854 12341359
123456810 12341426;123456811 12341426
123457007 12341455;123457008 12341455
123457223 12341447;123457223 12341448
123457280 12341374;123457281 12341374
123456927 12341361;123456926 12341361
123457021 12341389;123457022 12341389
123457063 12341253;123457062 12341253
123456929 12341255;123456929 12341254
123456854 12341326;123456853 12341326
123457222 12341326;123457223 12341326
123456789 12341315;123456790 12341315
123456965 12341389;123456964 12341389
123457245 12341379;123457244 12341379
123457000 12341480;123457001 12341480
123457077 12341281;123457076 12341281
123457020 12341382;123457021 12341382
123457225 12341367;123457226 12341367
123457156 12341240;123457155 12341240
123457276 12341266;123457276 12341267
123457145 12341363;123457144 12341363
123456914 12341268;123456913 12341268
123457221 12341319;123457220 12341319
123456903 12341417;123456902 12341417
123456922 12341416;123456923 12341416
123457179 12341257;123457180 12341257
123456890 12341378;123456889 12341378
123457036 12341276;123457036 12341277
123456973 12341349;123456974 12341349
123457194 12341320;123457195 12341320
123457182 12341462;123457181 12341462
123456982 12341426;123456983 12341426
123456862 12341326;123456861 12341326
123457075 12341335;123457074 12341335
123457145 12341439;123457146 12341439
123457200 12341440;123457200 12341439
123456815 12341479;123456816 12341479
123456870 12341306;123456870 12341305
123457021 12341459;123457020 12341459
123457026 12341356;123457026 12341355
123457207 12341405;123457206 12341405
123457287 12341237;123457287 12341236
123457030 12341410;123457031 12341410
123457051 12341249;123457051 12341250
123457271 12341361;123457270 12341361
123457265 12341301;123457266 12341301
123456889 12341477;123456890 12341477
123456805 12341287;123456804 12341287
123456936 12341286;123456935 12341286
123457262 12341358;123457263 12341358
123456972 12341328;123456973 12341328
123456826 12341284;123456826 12341285
123456811 12341423;123456810 12341423
123456918 12341438;123456918 12341437
123457119 12341343;123457118 12341343
123456956 12341440;123456955 12341440
123457203 12341337;123457203 12341336
123457235 12341475;123457236 12341475
123457117 12341305;123457116 12341305
123456998 12341324;123456999 12341324
123457048 12341370;123457048 12341371
123457167 12341479;123457166 12341479
123457129 12341241;123457128 12341241
123456999 12341305;123456999 12341304
123457123 12341247;123457122 12341247
123457130 12341240;123457131 12341240
123457274 12341458;123457273 12341458
123457142 12341268;123457143 12341268
123457200 12341464;123457200 12341463
123456991 12341277;123456992 12341277
123457232 12341240;123457233 12341240
123456941 12341259;123456941 12341260
123456889 12341443;123456890 12341443
123457279 12341437;123457280 12341437
123457263 12341275;123457262 12341275
123456959 12341459;123456959 12341458
123456930 12341338;123456931 12341338
